m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2019,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2019,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2019,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2019,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2019,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1324,"Tangerines, mandarins, clementines",2019,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1510,Potatoes,2019,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1530,Sweet potatoes,2019,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,231,"Hen eggs in shell, fresh",2019,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21432,Grapefruit juice,2019,47.9738,47.9738,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1211,Asparagus,2018,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2018,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2018,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2018,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2018,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1213,Cauliflowers and broccoli,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1213,Cauliflowers and broccoli,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2018,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2018,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2018,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1215,Spinach,2018,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1216,Artichokes,2018,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1221,Watermelons,2018,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1229,Cantaloupes and other melons,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1229,Cantaloupes and other melons,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1231,"Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.)",2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1232,Cucumbers and gherkins,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1233,Eggplants (aubergines),2018,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1234,Tomatoes,2018,15,15,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2018,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2018,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1239.01,Okra,2018,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1241.9,"Other beans, green",2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1241.9,"Other beans, green",2018,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2018,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2018,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1252,Green garlic,2018,19,19,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1270,Mushrooms and truffles,2018,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1290.01,Green corn (maize),2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1311,Avocados,2018,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1316,"Mangoes, guavas and mangosteens",2018,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1317,Papayas,2018,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1318,Pineapples,2018,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2018,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2018,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2018,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2018,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1324,"Tangerines, mandarins, clementines",2018,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1330,Grapes,2018,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1341,Apples,2018,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1342.01,Pears,2018,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1343,Apricots,2018,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1345,Peaches and nectarines,2018,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1346,Plums and sloes,2018,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1352,Kiwi fruit,2018,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1353.01,Raspberries,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1354,Strawberries,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1355.01,Blueberries,2018,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1355.02,Cranberries,2018,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1510,Potatoes,2018,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1530,Sweet potatoes,2018,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,231,"Hen eggs in shell, fresh",2018,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21431.01,Orange juice,2018,48.7721,48.7721,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21432,Grapefruit juice,2018,45.8415,45.8415,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21434,Grape juice,2018,19.0909,19.0909,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21435.01,Apple juice,2018,26.6667,26.6667,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1211,Asparagus,2018,15.8,15.80%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1212,Cabbages,2018,7.4,7.40%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1213,Cauliflowers and broccoli,2018,6.7,6.70%,,Retailing,Retail,Broccoli,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1213,Cauliflowers and broccoli,2018,17.3,17.30%,,Retailing,Retail,Cauliflower,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1214,Lettuce and chicory,2018,8.3,8.30%,,Retailing,Retail,Lettuce,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1215,Spinach,2018,18.2,18.20%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1216,Artichokes,2018,20.8,20.80%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1221,Watermelons,2018,25.4,25.40%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1229,Cantaloupes and other melons,2018,18.2,18.20%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1232,Cucumbers and gherkins,2018,12.2,12.20%,,Retailing,Retail,Cucumbers,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1233,Eggplants (aubergines),2018,20.6,20.60%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1234,Tomatoes,2018,14.5,14.50%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2018,18,18.00%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2018,23.1,23.10%,,Retailing,Retail,Squash,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1239.01,Okra,2018,40.2,40.20%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1251,Carrots and turnips,2018,7.2,7.20%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1251,Carrots and turnips,2018,62.9,62.90%,,Retailing,Retail,Turnips,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1252,Green garlic,2018,5.1,5.10%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1270,Mushrooms and truffles,2018,17.3,17.30%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,20.2,20.20%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,47.4,47.40%,,Retailing,Retail,Escarole/endive,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,5.8,5.80%,,Retailing,Retail,Brussel sprouts,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,43.8,43.80%,,Retailing,Retail,Collard Greens,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,26.6,26.60%,,Retailing,Retail,Kale,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,8.5,8.50%,,Retailing,Retail,Celery,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,22.5,22.50%,,Retailing,Retail,Honeydew,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2018,22.7,22.70%,,Retailing,Retail,Radishes,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1311,Avocados,2018,19,19.00%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1312,Bananas,2018,4.1,4.10%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1317,Papayas,2018,43.1,43.10%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1318,Pineapples,2018,37.2,37.20%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2018,18.8,18.80%,,Retailing,Retail,Grapefruits,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1322,Lemons and limes,2018,14,14.00%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
840,United States of America,,1322,Lemons and limes,2018,5.1,5.10%,,Retailing,Retail,,,,Modelled Estimates,"Ron Porat;Amnon Lichter;Leon A. Terry;Roger Harker;Jean Buzby (2018), Postharvest losses of fruit and vegetables during retail and in consumers’ homes: Quantifications, causes, and means of prevention",, Reference has been generated automatically,,,,,
