,Data.ID,Location,Level,Nation.code,State.code,County.code,Crop,Qualifier,Crop.name.in.original.data,Plant.start,Plant.start.date,Plant.end,Plant.end.date,Plant.median,Plant.range,Harvest.start,Harvest.start.date,Harvest.end,Harvest.end.date,Harvest.median,Harvest.range,Source,Notes,X,full.crop.name,location.code,tot.days,lat.avg,lon.avg,harvested.area,tmin.day.avg,temp.average,precip.average,temp.min,precip.min,temp.max,precip.max,temp.min.month,precip.min.month,temp.max.month,precip.max.month,temp.at.planting,precip.at.planting,sunfrac.at.planting,daylength.at.planting,dsw.at.planting,precip.over.pet.min,precip.over.pet.min.day,precip.over.pet.max,precip.over.pet.max.day,precip.over.pet.at.planting,apr.to.sept.temp.anomaly,apr.to.sept.precip.frac,gdd.base.0.between.plant.and.harvest,gdd.base.4.between.plant.and.harvest,gdd.base.5.between.plant.and.harvest,gdd.base.8.between.plant.and.harvest,gdd.base.10.between.plant.and.harvest,gdd.base.0,gdd.base.4,gdd.base.5,gdd.base.8,gdd.base.10,gdd.base.0.from.plant.until.cold,gdd.base.4.from.plant.until.cold,gdd.base.5.from.plant.until.cold,gdd.base.8.from.plant.until.cold,gdd.base.10.from.plant.until.cold,ndays.growing.season.below.0,ndays.growing.season.below.5,ndays.growing.season.below.10,ndays.growing.season.below.12,ndays.growing.season.below.15,ndays.growing.season.below.17,ndays.below.0,ndays.below.5,ndays.below.10,ndays.below.12,ndays.below.15,ndays.below.17,LGP,LGP.T,LGP.P,LGP.tmin5.tmax100,LGP.T.tmin5.tmax100,LGP.P.tmin5.tmax100,temp.growing.season,precip.growing.season,ndays.since.snowfrac_0.5,ndays.since.snowfrac_0.1,ndays.since.snowfrac_0.05,ndays.since.snowfrac_0,climate.category,misclassified,climate.category.string
11,12,Algeria,N,69,NA,NA,Rice,,Rice,72,3/13,173,6/22,122.5,102,254,9/11,294,10/21,274,41,GIEWS,,NA,Rice,69,151.5,35.92207951,3.318555471,1.965561761,-4.866039766,16.01465334,46.15646658,8.179345129,6.627764048,25.5307298,78.22553687,1,7,8,12,15.34815182,46.88129812,0.6315768988,14.61789653,256.1609201,0.03279531631,197,1.880825002,350,0.3303894657,4.815617556,0.5883326944,3382.795971,2774.795971,2622.795971,2166.795971,1862.795971,5859.772872,4399.772872,4034.772872,2939.772872,2300.493646,NA,NA,NA,NA,2162.038891,0,0,0,0,0,13,0,0,84,132,181,210,46,233,178,178,365,178,22.25523665,22.24995745,365,365,365,365,1,FALSE,1
12,13,Algeria,N,69,NA,NA,Sorghum,,Sorghum,284,10/11,20,1/20,334.5,102,162,6/11,233,8/21,197.5,72,GIEWS,,NA,Sorghum,69,228,36.05317541,8.102748412,0.8503586705,-4.860598263,15.64088752,69.146471,7.511766562,8.053914698,25.17462942,117.3401457,1,7,7,1,10.2779371,104.8298615,0.5750768414,10.83812097,107.3653413,0.0400263022,197,3.006669469,360,2.303873071,5.03869946,0.539543643,3042.854861,2130.854861,1902.854861,1226.265126,916.2192336,5724.019837,4264.019837,3899.019837,2811.435801,2227.405193,NA,NA,NA,26.37713399,0.3298989563,0,0,103,127,151,165,0,0,103,142,184,211,109,262,212,212,365,212,13.34585465,78.0364827,365,365,365,365,1,TRUE,1X
13,14,Algeria,N,69,NA,NA,Sugarbeets,,Sugarbeet,41,2/10,81,3/22,61,41,193,7/12,233,8/21,213,41,GIEWS,,NA,Sugarbeets,69,152,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
14,15,Angola,N,191,NA,NA,Wheat,Winter,Wheat,121,5/1,151,5/31,136,31,274,10/1,304,10/31,289,31,GIEWS,,NA,Wheat.Winter,191,153,-11.22351806,17.8311725,26.1168474,4.404662729,21.41993949,99.21794719,18.67290728,1.182504115,22.7026684,203.8736267,7,6,10,3,21.01432616,20.00653363,0.7030691369,12.33562981,214.9577991,0.009346955134,166,1.482851071,75,0.1515426133,-0.8609802839,0.3405930428,3125.555612,2513.555612,2360.555612,1901.555612,1595.555612,7816.048526,6356.048526,5991.048526,4896.048526,4166.048526,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,211,365,211,211,365,211,20.42846806,21.33355849,NA,NA,NA,NA,4,TRUE,4X
15,16,Angola,N,191,NA,NA,Maize,,Maize,244,9/1,319,11/15,281.5,76,60,3/1,120,4/30,90,61,GIEWS,,NA,Maize,191,173.5,-12.30193783,15.9227238,7154.68447,1.994034462,20.0120022,96.97016525,16.90645254,0.4983843448,21.21063759,220.6432499,7,6,10,3,21.12290279,79.55239197,0.4861162736,13.0042165,219.5780896,0.004225298817,166,1.676175284,75,0.5655846246,-0.9527114089,0.2980571685,3644.561886,2948.561886,2774.561886,2252.561886,1904.561886,7301.687619,5841.687619,5476.687619,4381.687619,3651.687619,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,9,211,365,211,211,365,211,20.94575797,165.7260152,NA,NA,NA,NA,4,FALSE,4
16,17,Angola,N,191,NA,NA,Rice,,Rice,284,10/11,355,12/21,319.5,72,71,3/12,141,5/21,106,71,GIEWS,,NA,Rice,191,151.5,-11.2746821,17.83533375,34.74817774,4.338514168,21.40247682,98.91999509,18.64118815,1.143093998,22.69637231,203.744854,7,6,10,3,22.22517094,175.6227118,0.4663928658,13.38219222,224.3936618,0.009041942215,166,1.481192321,75,1.193247533,-0.868367771,0.338475121,3368.700099,2760.700099,2608.700099,2152.700099,1848.700099,7809.662462,6349.662462,5984.662462,4889.662462,4159.662462,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,211,365,211,211,365,211,22.16250065,172.9603719,NA,NA,NA,NA,4,FALSE,4
17,18,Angola,N,191,NA,NA,Potatoes,,Potatoes,223,8/11,263,9/20,243,41,10,1/10,141,5/21,75.5,132,GIEWS,,NA,Potatoes,191,197.5,-11.25955697,17.82428427,162.9665703,4.353335349,21.40101173,99.01771349,18.64629592,1.147482532,22.68998814,203.9519363,7,6,10,3,21.33819127,21.66114658,0.6444363393,12.59477281,229.1105014,0.009074619465,166,1.483383448,75,0.1500054465,-0.8648065473,0.3389395034,4399.068305,3607.068305,3409.068305,2815.068305,2419.068305,7809.133464,6349.133464,5984.133464,4889.133464,4159.133464,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,211,365,211,211,365,211,22.21751669,141.205297,NA,NA,NA,NA,4,FALSE,4
18,19,Angola,N,191,NA,NA,Millet,,Millet,305,11/1,365,12/31,335,61,121,5/1,181,6/30,151,61,GIEWS,,NA,Millet,191,181,-11.24832781,17.82710439,2198.750959,4.369052699,21.40824235,99.09809378,18.6568077,1.162049162,22.69513028,203.9266034,7,6,10,3,22.14402022,178.2996851,0.4399745537,13.49587868,219.0493827,0.009186991549,166,1.483189057,75,1.241634483,-0.8632161185,0.3395208002,3966.605927,3242.605927,3061.605927,2518.605927,2156.605927,7811.775736,6351.775736,5986.775736,4891.775736,4161.775736,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,211,365,211,211,365,211,21.91494987,143.7150301,NA,NA,NA,NA,4,FALSE,4
19,20,Angola,N,191,NA,NA,Sorghum,,Sorghum,305,11/1,16,1/16,343,77,121,5/1,181,6/30,151,61,GIEWS,,NA,Sorghum,191,173,-16.77688498,22.45494791,6.56E-22,-0.5904646297,22.5991809,58.04665887,16.91765149,0,25.9209286,167.5754524,7,7,10,1,25.09316599,128.4765967,0.5643602109,13.89442244,258.0756968,2.75E-06,197,0.9706706573,16,0.7255465714,-2.437004867,0.0882906397,4067.44507,3375.44507,3202.44507,2683.44507,2337.44507,8243.769757,6783.769757,6418.769757,5323.769757,4593.769757,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,7,120,365,120,120,365,120,23.51124318,96.76978078,NA,NA,NA,NA,2,FALSE,2
20,22,Argentina,N,226,NA,NA,Barley,Winter,Barley,163,6/12,263,9/20,213,101,314,11/10,19,1/19,349,71,GIEWS,Not sure if this should really be classified as Winter,NA,Barley.Winter,226,136,-36.76298166,-61.39265338,2564.237188,-8.374585383,15.33231921,67.24809947,8.397460434,32.83519257,22.84058829,105.7552131,7,8,1,3,9.077399217,34.15935514,0.5125376882,11.19501076,107.0877606,0.4397361938,363,1.182617045,158,0.7701495971,-4.386798074,0.6933110384,1979.672972,1435.672972,1299.672972,891.6729724,629.405311,5584.417066,4124.417066,3759.417066,2664.417066,2023.587379,NA,NA,NA,NA,0,0,0,19,45,76,94,0,0,80,125,182,215,194,285,274,274,365,274,14.55641891,65.95886923,NA,NA,NA,NA,2,TRUE,2X
21,25,Argentina,N,226,NA,NA,Millet,,Millet,254,9/11,349,12/15,301.5,96,349,12/15,141,5/21,62.5,158,GIEWS,,NA,Millet,226,126,-33.63743118,-62.07843895,267.1168935,-7.984627349,17.06813929,70.24041656,10.25578674,27.63551626,23.97673706,115.3069424,7,8,1,3,18.45074825,87.63588109,0.617192353,14.224935,255.2856192,0.4183860835,228,0.8725054182,75,0.574146693,-4.210436057,0.5855386858,2802.157703,2298.157703,2172.157703,1794.157703,1542.157703,6218.798277,4758.798277,4393.798277,3298.798277,2568.798277,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,81,144,181,319,365,319,319,365,319,22.23934685,99.51075108,NA,NA,NA,NA,2,FALSE,2
22,31,Armenia,N,61,NA,NA,Wheat,Winter,Winter Wheat,213,8/1,304,10/31,258.5,92,121,5/1,212,7/31,166.5,92,GIEWS,,NA,Wheat.Winter,61,273,40.18672656,44.89642066,1154.022047,-27.38029596,7.433512449,43.15104521,-7.12734451,24.17898425,20.73062399,83.78745686,1,1,7,5,15.77680772,29.74138262,0.739202387,13.36558042,219.9250002,0.2095810208,227,1.595660793,363,0.2510520898,8.047417225,1.240725956,1442.255398,843.0516868,716.1943376,390.8066012,225.7549467,3192.011242,2224.798919,2005.947956,1404.56462,1055.541589,567.7150183,311.6527707,259.8209684,133.6124026,73.58060813,104,151,202,223,259,273,105,151,202,224,259,285,98,223,240,89,214,240,3.616290676,43.51111806,152,122,113,71,1,TRUE,1X
23,32,Armenia,N,61,NA,NA,Multiple,Spring,Spring Coarse Grains,91,4/1,181,6/30,136,91,213,8/1,273,9/30,243,61,GIEWS,Not sure what crops to apply this to,NA,Multiple.Spring,61,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
24,33,Azerbaijan,N,54,NA,NA,Multiple,Winter,Winter Grains,305,11/1,365,12/31,335,61,152,6/1,212,7/31,182,61,GIEWS,Not sure what crops to apply this to,NA,Multiple.Winter,54,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
25,34,Azerbaijan,N,54,NA,NA,Multiple,Spring,Spring Grains,60,3/1,120,4/30,90,61,182,7/1,243,8/31,212.5,62,GIEWS,Not sure what crops to apply this to,NA,Multiple.Spring,54,122.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
26,35,Azerbaijan,N,54,NA,NA,Cotton,,Cotton,91,4/1,120,4/30,105.5,30,244,9/1,304,10/31,274,61,GIEWS,,NA,Cotton,54,168.5,40.06650725,47.5550266,1144.019318,-19.28614327,13.25945263,40.65565836,1.257219747,25.0803493,25.33384369,61.51332151,1,7,7,10,12.85315767,48.31835116,0.4579375826,14.22578717,196.4672619,0.1362688901,197,1.343331392,359,0.4738276276,7.136354159,1.014143617,3546.405772,2870.405772,2701.405772,2194.405772,1856.405772,4860.68892,3526.659641,3243.678662,2470.027002,2008.157646,NA,3336.755374,3097.353673,2414.625215,1988.838308,0,0,0,0,14,27,0,89,144,165,200,223,51,220,196,107,276,196,20.98464954,41.17415802,21,-48,-68,-365,1,FALSE,1
27,36,Azerbaijan,N,54,NA,NA,Potatoes,,Potato (main),91,4/1,151,5/31,121,61,213,8/1,273,9/30,243,61,GIEWS,,NA,Potatoes,54,122,40.06646993,47.55504063,467.1662527,-19.28586699,13.2596793,40.65491703,1.257471177,25.07887026,25.33405085,61.51336209,1,7,7,10,15.20679503,53.77883828,0.4867078608,14.88680287,218.7029402,0.1362604303,197,1.343305426,359,0.4447478492,7.136341061,1.014131337,2694.470394,2206.470394,2084.470394,1718.470394,1474.470394,4860.771604,3526.723621,3243.739273,2470.079442,2008.205545,NA,3181.361131,2957.465806,2321.219759,1926.422978,0,0,0,0,0,12,0,89,144,165,200,223,51,220,196,107,276,196,22.0858229,39.77313611,36,-32,-53,-365,1,FALSE,1
28,37,Azerbaijan,N,54,NA,NA,Potatoes,early,Potato (early),32,2/1,90,3/31,61,59,152,6/1,212,7/31,182,61,GIEWS,,NA,Potatoes.early,54,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
29,41,Bangladesh,N,92,NA,NA,Wheat,Winter,Wheat,315,11/11,11,1/11,345.5,62,81,3/22,120,4/30,100.5,40,GIEWS,,NA,Wheat.Winter,92,120,24.43396722,89.57215262,8134.311258,3.731326165,25.51401717,168.6625447,18.34392626,5.730396996,28.76362297,441.2436458,1,12,6,7,20.04736172,7.866913734,0.7079649407,11.47566376,164.8866765,0.06168944334,350,3.589788652,197,0.08261080466,3.057811044,1.76010867,2614.680871,2134.680871,2014.680871,1654.680871,1414.680871,9319.29409,7859.29409,7494.29409,6399.29409,5669.29409,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,211,365,211,211,365,211,21.78900726,24.05439169,365,365,365,-365,3,TRUE,3X
30,42,Bangladesh,N,92,NA,NA,Sorghum,,Sorghum,132,5/12,283,10/10,207.5,152,324,11/20,365,12/31,344.5,42,GIEWS,,NA,Sorghum,92,137,24.14398239,89.98138567,7.944001657,3.800834242,25.49842417,184.0952696,18.49015502,6.39797021,28.60221147,465.946206,1,12,6,7,28.514865,435.1219893,0.2204651461,14.15401743,166.4001298,0.06712513465,350,3.832629549,196,3.573342605,2.9450869,1.75353792,3623.958372,3075.958372,2938.958372,2527.958372,2253.958372,9313.347685,7853.347685,7488.347685,6393.347685,5663.347685,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,222,365,222,222,365,222,26.45225089,209.1709051,365,365,365,-365,3,FALSE,3
31,43,Bangladesh,N,92,NA,NA,Potatoes,,Potato,274,10/1,365,12/31,319.5,92,80,3/21,141,5/21,110.5,62,GIEWS,,NA,Potatoes,92,156,24.15950548,89.97372585,2228.143735,3.792025466,25.49054125,184.3462143,18.47961748,6.384058981,28.59863762,467.3848445,1,12,6,7,23.51865704,27.10893434,0.695663644,11.7648647,180.4704357,0.06704787818,350,3.842076322,196,0.2390586906,2.947556406,1.754201655,3471.960412,2847.960412,2691.960412,2223.960412,1911.960412,9310.481564,7850.481564,7485.481564,6390.481564,5660.481564,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,222,365,222,222,365,222,22.25615648,32.99566205,365,365,365,-365,3,TRUE,3X
32,44,Belarus,N,16,NA,NA,Multiple,Winter,Winter Cereals,227,8/15,304,10/31,265.5,78,182,7/1,227,8/15,204.5,46,GIEWS,Not sure what crops to apply this to,NA,Multiple.Winter,16,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33,45,Belarus,N,16,NA,NA,Rye,Winter,Winter Rye,227,8/15,263,9/20,245,37,187,7/6,227,8/15,207,41,GIEWS,,NA,Rye.Winter,16,327,53.61546156,27.99711834,7205.734225,-30.04839765,6.106987518,51.98082469,-7.060846342,30.36493599,17.61558099,82.01135796,1,2,7,7,14.19270755,62.11738551,0.4680268997,14.85342652,161.5053547,0.4770689991,135,14.24391703,354,0.7562553127,7.711422984,1.221208662,2132.454846,1373.991427,1207.787552,765.8001158,521.1532626,2754.097911,1843.634492,1639.430617,1083.443181,762.7963277,582.0903144,306.7646255,251.3916547,117.4667245,55.65143324,118,165,215,236,272,301,118,165,215,236,277,325,132,150,347,181,199,347,4.982123206,50.00337262,161,146,136,122,1,TRUE,1X
34,46,Belarus,N,16,NA,NA,Multiple,Spring,Spring Cereals,91,4/1,181,6/30,136,91,182,7/1,273,9/30,227.5,92,GIEWS,Not sure what crops to apply this to,NA,Multiple.Spring,16,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
